program_id,focus_sectors,location,program_name,program_type,pogram_description,program_objectives,program_eligibility,funding,organizations,org_category,further_info,update_date
5586,Residential,British Columbia,Heat Pump Rebate,"Energy Star,Financial Incentive,Rebate,Retrofit",,This Program offers homeowners a rebate when installing a qualifying high-efficiency central air source heat pump (including ENERGY STAR<sup>®</sup> models).,,,FortisBC - Homes,Utility company,,2022-05-15 00:00:00.0
5587,Residential,British Columbia,Clothes Washer &amp; Dryer Rebates,"Energy Star,Financial Incentive,Rebate,Retrofit",,This Program offers rebates on ENERGY STAR<sup>®</sup> certified clothes washers and dryers that achieve the highest ratings for energy and water efficiency.,,,FortisBC - Homes,Utility company,,2019-01-30 00:00:00.0
5588,Residential,British Columbia,Door &amp; Window Rebates,"Energy Star,Financial Incentive,Rebate,Retrofit",,This Program offers rebates upon the installation of ENERGY STAR<sup>®</sup> certified doors and windows,,,FortisBC - Homes,Utility company,,2019-01-30 00:00:00.0
5590,Residential,British Columbia,Home Renovation Bonus Rebates,"Financial Incentive,Rebate,Retrofit",,"This Program offers rebates to homeowners who choose two or more eligible upgrades (consult web site) to be eligible for the bonus rebate of $300. If a program-qualified energy advisor is hired to perform a pre- and post-upgrade EnerGuide<sup>®</sup> home evaluation and make three or more upgrades, they could be eligible for up to $2,300 in rebates.",,,FortisBC - Homes,Utility company,,2019-01-30 00:00:00.0
5591,Residential,British Columbia,Insulation Rebates,"Financial Incentive,Rebate,Retrofit",,"This Program offers rebates upon the installation of batt, loose fill, board and spray foam insulation products, which meet the applicable Canadian national thermal insulation standards. Insulation must be installed by a contractor with a valid BC business licence.",,,FortisBC - Homes,Utility company,,2019-01-30 00:00:00.0
5592,Residential,British Columbia,Natural Gas Combination Heating &amp; Hot Water System Rebates,"Energy Star,Financial Incentive,Rebate,Retrofit",,"This Program offers homeowners a rebate on converting their oil, wood or propane heating system to ENERGY STAR<sup>®</sup> heating system and water heater or combination heating and hot water system.",,,FortisBC - Homes,Utility company,,2019-01-30 00:00:00.0
5593,Residential,British Columbia,Natural Gas Furnace &amp; Boiler Rebates,"Energy Star,Financial Incentive,Rebate,Retrofit",,This Program offers homeowners a rebate on converting their old natural gas furnace or boiler with an eligible ENERGY STAR<sup>®</sup> model with a two-pipe direct vent system.,,,FortisBC - Homes,Utility company,,2019-01-30 00:00:00.0
5596,Residential,British Columbia,Refrigerator Rebate,"Energy Star,Rebate",,This Program offers a rebate on ENERGY STAR<sup>®</sup> certified refrigerators that achieve the highest ratings for energy efficiency.,,,FortisBC - Homes,Utility company,,2019-01-30 00:00:00.0
5607,Residential,Quebec,Air Exchanger with Heat Recovery Ventilator Program,"Energy Star,Financial Incentive,Retrofit",,This Program provides financial support to homeowners for the purchase of an air exchanger equipped with a heat recovery system (including ENERGY STAR<sup>®</sup> certified models).,,,Gazifère,Utility company,,2022-05-04 00:00:00.0
5608,Residential,Quebec,Condensing Tankless Water Heater Program,"Energy Star,Financial Incentive,Retrofit",,This Program provides financial support to homeowners for the purchase of a condensing tankless water heater (including ENERGY STAR<sup>®</sup> certified models).,,,Gazifère,Utility company,,2022-05-04 00:00:00.0
5609,Commercial/Institutional,Quebec,Variable Speed Hood &amp; Condensing Tempered Air Generator Combo Program,"Financial Incentive,Retrofit",,This Program provides commercial customers financial support for the purchase and installation of a variable speed hood and a variable speed condensing tempered air generator.,,,Gazifère,Utility company,,2022-05-04 00:00:00.0
5610,Residential,Quebec,Chauffez vert,"Financial Incentive,Retrofit",,Financial assistance is available under this Program for the replacement of fossil-fueled systems (heating system and water heater) with energy-efficient systems that use electricity or other renewable sources of energy.,,,"Gouvernement du Québec, Transition énergétique Québec",Provincial government,,2019-01-30 00:00:00.0
5611,"Commercial/Institutional,Industrial",Quebec,Efficient Solutions Program,"Financial Incentive,Retrofit",,"This Program offers financial assistance to commercial and industrial customers to implement one of the many predefined energy efficiency measures under the Simplified Option. It also provides financial assistance as well as general or technical support throughout a project in order to implement innovative energy efficiency measures under the Customized Option.<br><br> One program with three components.<br><br>
The three program components are designed to meet the different needs of companies of all sizes.<br><br>
Energy Analysis : New! Get up to $50,000 in financial assistance to conduct the energy analysis of buildings, equipment or processes.<br><br>Small Businesses: Enhanced offering. Get financial assistance of up to 90% of eligible costs for buildings subject to Rate G.<br><br>Medium and Large Businesses: Get financial assistance of up to 75% of eligible costs.",,,Hydro-Québec,Utility company,,2022-11-11 00:00:00.0
5616,Commercial/Institutional,Quebec,Novoclimat Select Group,"Awareness/Information,Energy Management and Monitoring,New Construction",,"Member contractors of the Novoclimat Select Group commit themselves in respect of consumers and Transition énergétique Québec to:<ul>
<li>maintain an average Novoclimat registration rate of at least 90% of their homes sold each year in Québec;</li>
<li>give their staff full technical training on the construction of efficient homes;</li>
<li>submit for analysis their construction techniques to allow for an assessment of their energy performance.</li></ul>",,,"Gouvernement du Québec, Transition énergétique Québec",Provincial government,,2019-01-30 00:00:00.0
5628,Commercial/Institutional,Alberta,New Homes Incentive Program,"Advice,Financial Incentive,New Construction,Rebate",,This Program offers a rebate to encourage the construction of more energy efficient homes. The rebate amount is awarded based on the level of energy savings achieved beyond a typical new home - that is one built to the current energy code. This Program requires the services of an energy advisor.,,,City of Medicine Hat,Municipal government,,2022-05-04 00:00:00.0
5646,Residential,Alberta,Solar Electric Incentive Program,"Financial Incentive,Rebate,Retrofit",,This Program offers rebates to residential utility customers to purchase and install solar PV systems on their homes. The rebate amount is awarded based on the size of the installed system.,,,City of Medicine Hat,Municipal government,,2022-05-04 00:00:00.0
5647,Residential,Alberta,Scratch &amp; Win Program,"Financial Incentive,Rebate,Retrofit",,This Program offers rebates to residential utility customers to purchase and install smaller energy efficient and renewable energy items in their homes.,,,City of Medicine Hat,Municipal government,,2022-05-04 00:00:00.0
5666,Residential,Ontario,Home Efficiency Rebate (HER),"Financial Incentive,Retrofit",,"The offering provides up to $5,000 in rebates for comprehensive home energy upgrades, aiming to enhance overall energy efficiency for residential homeowners. Eligible participants must have Enbridge-supplied natural gas heating at the time of their initial home energy audit and/or final home energy audit; own a detached, semi-detached, row house, townhome or a mobile home on a permanent foundation; and install at least two qualified measures.",,,Enbridge Gas Inc.,Utility company,,2022-05-04 00:00:00.0
5686,Residential,British Columbia,See the Heat Program,"Advice,Energy Management and Monitoring",,"This Program provides homeowners the opportunity to take home a thermal imaging camera that connects to their smart phone to learn more about the energy efficiency of their home.  The camera allows them to see how well their house is insulated, how well doors and windows seal, what plug in's and outlets are particularly leaky, and the effects of leaving chimney flues open when not in use. Along with the loaned camera and its components, homeowners are given a free draft-proofing kit, which contains:<ul>
<li>Electrical switch and outlet draft insulators</li>
<li>Window insulation</li>
<li>Weather stripping (for doors or windows)</li></ul>
This opportunity is developed through a partnership with the City of Kamloops, Thompson Nicola Regional Library, and with financial support from FortisBC.
",,,City of Kamloops,Municipal government,,2022-05-04 00:00:00.0
5706,Residential,Northwest Territories,Rebates on Energy-Efficient Products,"Energy Star,Financial Incentive,Rebate,Retrofit",,"This Program provides rebates to northerners who purchase new, more energy-efficient products that they use every day (including ENERGY STAR certified models). Products include:<ul>
<li>Household appliances</li>
<li>LED lighting</li>
<li>Heating appliances</li>
<li>Home upgrades</li>
<li>New homes</li><ul>
",,,Arctic Energy Alliance,Other organization,,2019-04-24 00:00:00.0
5707,Commercial/Institutional,Northwest Territories,Business Improvements Program,"Financial Incentive,Rebate,Retrofit",,"This Program provides rebates of up to $50,000 for business, non-profits, and community governments to conserve energy and improve its energy efficiency. Consult the website for further details.",,,Arctic Energy Alliance,Other organization,,2022-05-15 00:00:00.0
5708,"Commercial/Institutional,Residential",Northwest Territories,Rebates on Renewable Energy Products,"Financial Incentive,Retrofit",,"This Program provides funding for renewable energy sources such as solar, wind, wood pellet heating, biofuel/synthetic gas and ground source heat pumps. This funding is available to communities, commercial businesses, non-profit organizations and NWT residents.",,,Arctic Energy Alliance,Other organization,,2022-05-15 00:00:00.0
5712,Residential,Saskatchewan,Online Energy Assessment for Homes,"Advice,Energy Management and Monitoring",,This free online tool illustrates the factors that contribute to homeowners' power and natural gas costs. It provides tips for no-cost and low-cost actions that can save money.,,,SaskPower - Residential Programs,Utility company,,2019-04-24 00:00:00.0
5726,"Commercial/Institutional,Industrial",Quebec,Technoclimat,"Financial Incentive,Research and Development",,"The objective of this program is to encourage the development, in Québec, of technological innovation in the areas of energy efficiency, renewable energies, bioenergies and greenhouse gas (GHG) emission reductions by offering financial assistance to project promoters who wish to demonstrate the potential of a technological innovation.",,,"Gouvernement du Québec, Transition énergétique Québec",Provincial government,,2022-05-04 00:00:00.0
5746,Residential,Prince Edward Island,Winter Warming Program,"Energy Star,Financial Incentive,Rebate,Retrofit",,"This Program provides free air sealing and energy efficient upgrades to qualified low to moderate-income residents.<br><br>
An efficiencyPEI tradesperson completes a comprehensive air sealing (such as caulking, weather-stripping, sealing gaskets) free of charge at a residence along with the following:<ul>
<li>installation of a programmable thermostat,</li>
<li>a low-flow shower head,</li>
<li>a voucher for a free heating system cleaning (up to $115 value),</li>
<li>ENERGY STAR® LED light bulbs.</li></ul>",,,Efficiency PEI,Provincial government,,2019-08-30 00:00:00.0
5748,Commercial/Institutional,Saskatchewan,SaskPower Efficiency Partner Program,"Advice,Awareness/Information,Energy Management and Monitoring",,SaskPower Efficiency Partners are up to date on SaskPower's energy-saving programs and can share this information with customers to help them save money on their monthly bills. These programs help reduce the province's environmental footprint and the need for new power generation. They also help customers save on their monthly power bills.,,,SaskPower - Business Programs,Utility company,,2019-08-30 00:00:00.0
5766,"Commercial/Institutional,Residential",Canada,Energy Savings Rebate Program,"Energy Star,Financial Incentive,Rebate,Retrofit",,"This Program makes energy-efficient products more accessible to people across Ontario. The program provides $200 million over two years to participating retailers, big and small, to help Ontario residents afford energy-efficient products (including ENERGY STAR certified models).",,,Government of Canada,Federal government,,2019-10-01 00:00:00.0
5786,Commercial/Institutional,Alberta,Solar for Schools Program,"Financial Incentive,Rebate,Retrofit",,This Program provides up to $3 million to Alberta School Authorities who install solar photovoltaic (PV) systems on existing school facilities or land in their jurisdiction and complete a student education initiative as part of the project.,,,Municipal Climate Change Action Centre,Other organization,,2020-07-20 00:00:00.0
5787,Commercial/Institutional,Alberta,Recreation Energy Conservation Program,"Financial Incentive,Rebate,Retrofit",,"This Program provides up to $750,000 in funding for municipally-owned recreation facilities to reduce energy use and GHG emissions by identifying energy-saving opportunities and implement energy efficiency projects.",,,Municipal Climate Change Action Centre,Other organization,,2020-07-20 00:00:00.0
5789,Transportation,Alberta,Electric Vehicles for Municipalities Program,Financial Incentive,,"This Program provides up to $750,000 in funding to municipalities to purchase a variety of electric vehicles, charging stations, and complete feasibility studies.",,,Municipal Climate Change Action Centre,Other organization,,2020-07-20 00:00:00.0
5806,Commercial/Institutional,Nova Scotia,Small Business Rebates,"Financial Incentive,Rebate,Retrofit",,"Small businesses could benefit from rebates on high quality, efficient equipment, and programs that identify energy saving opportunities. Products include: <ul>
<li>energy-efficient lighting and lighting control systems</li>
<li>energy-efficient heating systems, i.e. air and ground-source heat pumps, HVAC sensors and more</li>
<li>energy-efficient kitchen equipment, i.e. ovens, freezers and refrigerators </li></ul>
",,,Efficiency Nova Scotia,Provincial government,,2020-01-13 00:00:00.0
5807,Commercial/Institutional,Nova Scotia,Commercial Buildings Rebates,"Advice,Financial Incentive,Rebate,Retrofit",,"This Program offers incentives, financing and expert advice to help business upgrade to energy efficient products. Some of the benefits of efficiency include:<ul>
<li>rebates on products such as HVAC, water systems, and lighting</li>
<li>help with custom services and the cost of engineering studies</li></ul>
",,,Efficiency Nova Scotia,Provincial government,,2020-01-13 00:00:00.0
5808,Commercial/Institutional,Nova Scotia,Affordable Housing,"Financial Incentive,Rebate,Retrofit",,"This Program offers rebates of up to 80% on cost-effective energy saving upgrades for eligible rental properties and up to 100% for providers of rent-free housing such as shelters and transition houses.<br><br>
A no-cost energy audit will identify energy saving upgrades and determine your rebates. Help will be provided to cover the expense of the recommended upgrades, which may include improvements to lighting, heating, water heating, window and door replacement, insulation and more.",,,Efficiency Nova Scotia,Provincial government,,2020-01-13 00:00:00.0
5809,Commercial/Institutional,Nova Scotia,Strategic Energy Management,"Energy Management and Monitoring,Financial Incentive",,This Program offers funding and support for a strategic energy management (SEM) program - to build long-term energy and cost savings in a business.,,,Efficiency Nova Scotia,Provincial government,,2020-01-13 00:00:00.0
5810,Commercial/Institutional,Nova Scotia,Manufacturing Program,"Energy Management and Monitoring,Financial Incentive,Rebate,Research and Development",,"Efficiency Nova Scotia has a range of programs, rebates and incentives that will help a manufacturing plant or business run more efficiently, including:<ul>

<li>scoping studies that are customized to a business to help find energy saving opportunities</li>
<li>rebates for high quality, reliable equipment to help reduce equipment downtime</li>
<li>comprehensive energy management plans to help streamline work, reduce waste, and create a more productive environment for employees</li>
<li>installation of energy management information systems and employee training that will reduce a facility's operating costs and increase profits</li></ul>
",,,Efficiency Nova Scotia,Provincial government,,2020-01-13 00:00:00.0
5811,Commercial/Institutional,Nova Scotia,Hospitality Program,"Advice,Financial Incentive,Rebate,Retrofit",,"This Program offers incentives, financing and expert advice to help a hotel or restaurant business upgrade to energy efficient products, including heating, kitchen and refrigeration equipment.",,,Efficiency Nova Scotia,Provincial government,,2020-01-13 00:00:00.0
5812,"Agriculture,Commercial/Institutional",Nova Scotia,Agriculture Program,"Advice,Financial Incentive,Rebate,Retrofit",,"This Program offers rebates on high quality, efficient equipment, and identifies energy saving opportunities - helping a farming business run at peak performance.",,,Efficiency Nova Scotia,Provincial government,,2020-01-13 00:00:00.0
5813,Commercial/Institutional,Nova Scotia,Retail Program,"Financial Incentive,Rebate,Retrofit",,"This Program offers rebates on energy efficiency upgrades, including:<ul>
<li>improved lighting</li>
<li>HVAC system upgrades</li>
<li>heat pumps </li>
<li>more efficient refrigeration </li></ul>
",,,Efficiency Nova Scotia,Provincial government,,2020-01-13 00:00:00.0
5814,Commercial/Institutional,Nova Scotia,Institutions Program,"Financial Incentive,Rebate,Retrofit",,"This Program offers rebates to help improve the energy efficiency of local rinks, arenas, schools, and universities. For example, the savings gained from a more efficient refrigeration control system could be used to upgrade a facility's outdated and energy-intensive lighting to LED.",,,Efficiency Nova Scotia,Provincial government,,2020-01-13 00:00:00.0
5815,Residential,Nova Scotia,Heating System Rebates,"Energy Star,Financial Incentive,Rebate,Retrofit",,"This Program offers rebates to upgrade to an efficient home heating system, i.e. heat pumps (including ENERGY STAR certified products), wood/pellet stoves, water heaters, and solar systems.",,,Efficiency Nova Scotia,Provincial government,,2022-05-04 00:00:00.0
5816,Commercial/Institutional,Saskatchewan,Commercial Space &amp; Water Heating Rebate,"Energy Star,Financial Incentive,Rebate,Retrofit",,"This Program offers rebates for natural gas furnaces, boilers, tankless and condensing water heaters, and infrared tube heaters (including ENERGY STAR certified products) in commercial applications. Available exclusively through participating SaskEnergy Commercial Network Members located across Saskatchewan, the program provides rebates based on the incremental price of energy-efficient equipment.",,,SaskEnergy,Utility company,,2022-05-04 00:00:00.0
5847,Commercial/Institutional,Quebec,Commercial Condensing Water Heater Program,"Financial Incentive,Retrofit",,"We provide financial support for the purchase or lease of commercial condensing water heaters with an energy efficiency equal to or greater than 90%. One piece of equipment is eligible for financial assistance: a condensing water heater (without a tank) installed in a multi-unit housing. To be eligible for this discount, the customer must be at Rate 1 (Commercial). Condensing water heaters intended for centralized use are not eligible for financial assistance.",,,Gazifère,Utility company,,2024-05-27 00:00:00.0
5849,Commercial/Institutional,Quebec,ENERGY STAR® Dishwasher Program,"Energy Star,Financial Incentive,Retrofit",,"Commercial dishwashers are among the highest energy users in a commercial kitchen. There are several categories of commercial dishwashers: low or high temperature, undercounter, stationary or conveyor. Some of the models on the market burn more energy than others.<br><br>
Gazifère offers $100 in financial assistance towards the purchase of an ENERGY STAR® low temperature multiple tank conveyor commercial dishwasher, and $400 towards the purchase of an ENERGY STAR high temperature stationary commercial dishwasher.",,,Gazifère,Utility company,,2022-05-04 00:00:00.0
5850,Commercial/Institutional,Quebec,Eco-Efficient Pre-Rinse Sprayer Program,"Financial Incentive,Retrofit",,"Pre-rinse sprayers currently used in commercial kitchens remove food residues from dishes with a powerful spray of water prior to washing in a dishwasher. Such pre-rinsing alone can represent up to one-third of the hot water used in commercial kitchens.<br><br>
Older pre-rinse sprayer models can consume up to 5 gallons of hot water a minute. Eco-efficient sprayers, however, only consume 0.7 gallons a minute, thereby reducing by approximately 85% the amount of water consumed and the costs associated with heating that water.<br><br>
Gazifère will install free of charge one or more eco-efficient pre-rinse sprayers to replace the existing sprayers of applicants approved under this program.",,,Gazifère,Utility company,,2024-06-05 00:00:00.0
5851,Residential,Quebec,Smart Thermostat Program,"Financial Incentive,Retrofit",,"Opting for a smart thermostat for your home will help you optimize your energy use throughout the day and night. Given that heating alone accounts for 64% of the average Quebec household¿s energy consumption, Gazifère is offering $100 in financial assistance upon the purchase and installation of a smart thermostat to replace the old one.",,,Gazifère,Utility company,,2022-05-04 00:00:00.0
5866,Residential,Manitoba,Advanced HRV Control Program,"Financial Incentive,Rebate,Retrofit",,This program offers rebates on select advanced HRV controls.,,,Efficiency Manitoba,Provincial government,,2022-02-14 00:00:00.0
5867,Residential,Manitoba,Pool Pump Program,"Energy Star,Financial Incentive,Rebate,Retrofit",,This program offers rebates on all ENERGY STAR® certified variable-speed pool pumps. ,,,Efficiency Manitoba,Provincial government,,2022-02-15 00:00:00.0
5868,Residential,Manitoba,Home Insulation Rebate,"Financial Incentive,Rebate,Retrofit",,This program offers rebates on qualifying home insulation upgrades to required levels. ,,,Efficiency Manitoba,Provincial government,,2022-02-14 00:00:00.0
5870,Residential,Manitoba,Metis Energy Efficiency Offers,"Advice,Financial Incentive,Retrofit",,"In partnership with the Manitoba Métis Federation, this program offers free and subsidized energy efficiency upgrades for income qualifying households.  Offers include: Free Home Energy Check-up, Free Insulation, Natural Gas Furnace and Boiler Upgrade, Free Energy Saving Devices.",,,Efficiency Manitoba,Provincial government,,2022-02-14 00:00:00.0
5871,Residential,Manitoba,First Nations Insulation and Direct Install ,"Advice,Retrofit",,"We partner with your community to help everyone save money and energy. Upgrades are free and our First Nation Energy Advisor works with you to create a plan that works for everyone, then local community members are hired to execute it. FREE insulation upgrades, FREE LEDs, FREE low-flow showerheads and faucet aerators, FREE insulated pipe wrap, FREE draft proofing.",,,Efficiency Manitoba,Provincial government,,2022-02-15 00:00:00.0
5872,Residential,Manitoba,SAVE MORE,"Energy Star,Rebate",,"This program provides rebates on qualifying ENERGY STAR® certified products including smart thermostats, clothes washers, clothes washer/dryer pairs, refrigerators, and dishwashers.",,,Efficiency Manitoba,Provincial government,,2022-02-15 00:00:00.0
5873,Residential,Manitoba,New Homes Program,"Advice,Financial Incentive,New Construction,Rebate,Training/Technical Assistance",,"This program offers homeowners and builders expert energy design assistance, rebates, and labelling for energy efficient new homes. There are two application paths to choose from: the Prescriptive Path and the Performance Path. The Performance Path pays for increased performance levels and is evaluated using the EnerGuide Rating System.",,,Efficiency Manitoba,Provincial government,,2022-02-15 00:00:00.0
5874,"Commercial/Institutional,Industrial",Manitoba,New Buildings Program ,"Advice,Financial Incentive,New Construction,Standards (Voluntary or Regulated)",,"This program offers technical guidance along with financial incentives for energy modelling, designing, constructing, and operating new energy-efficient buildings.",,,Efficiency Manitoba,Provincial government,,2022-02-15 00:00:00.0
5875,Commercial/Institutional,Manitoba,Supplier Network,"Awareness/Information,Financial Incentive",,Join the Efficiency Manitoba Supplier Network to offer incentive programs to customers. Consult the web site for further details.,,,Efficiency Manitoba,Provincial government,,2022-02-15 00:00:00.0
5876,"Agriculture,Commercial/Institutional,Industrial",Manitoba,Business Lighting Program,"Advice,Energy Star,Financial Incentive,Rebate,Retrofit",,"This program offers financial incentives to help businesses cover the costs of installing energy efficient LED lighting. Products include DLC listed, ENERGY STAR certified, or Efficiency Manitoba approved, LED lamps, LED fixtures, LED backlit signs, and lighting controls.",,,Efficiency Manitoba,Provincial government,,2022-02-14 00:00:00.0
5877,"Agriculture,Commercial/Institutional,Industrial",Manitoba,Building Envelope Program,"Advice,Energy Star,Financial Incentive,Rebate,Retrofit",,"This program offers financial incentives to improve the thermal performance of your building by upgrading roof and wall insulation, doors, windows (including ENERGY STAR® certified products) and curtain wall systems. ",,,Efficiency Manitoba,Provincial government,,2022-02-14 00:00:00.0
5887,Commercial/Institutional,Manitoba,Commercial Refrigeration Program,"Advice,Financial Incentive,Rebate,Retrofit",,This program offers business owners financial incentives to upgrade to qualifying energy efficient refrigeration equipment.,,,Efficiency Manitoba,Provincial government,,2022-02-14 00:00:00.0
5888,"Agriculture,Commercial/Institutional,Industrial",Manitoba,Custom Energy Solutions Program,"Advice,Awareness/Information,Energy Management and Monitoring,Financial Incentive,Rebate,Retrofit,Training/Technical Assistance",,"This program assists industrial, commercial, or agriculture facilities with identifying inefficiencies. The program provides technical support and performance based financial incentives for the purchase, installation and implementation of energy efficient equipment. Financial incentives are also available for Feasibility Studies to assess and evaluate projects that lead to improved energy efficiency.  
",,,Efficiency Manitoba,Provincial government,,2022-02-14 00:00:00.0
5889,"Agriculture,Commercial/Institutional,Industrial",Manitoba,Energy Efficiency Assessments,"Advice,Awareness/Information,Energy Management and Monitoring,Training/Technical Assistance",,"Energy efficiency assessments help industrial customers understand and improve their facility's energy usage by identifying energy efficiency opportunities, including program incentives available. ",,,Efficiency Manitoba,Provincial government,,2022-02-14 00:00:00.0
5890,Commercial/Institutional,Manitoba,Community Energy Efficiency Program,Advice,,"This program offers municipalities and towns the opportunity, support, and resources to hire a Community Energy Efficiency Advocate. The Community Energy Efficiency Advocate, with the assistance of Efficiency Manitoba and their community, will create and implement Community Energy Efficiency Plans. The plans will help communities lower their overall energy consumption with Efficiency Manitoba's programs for energy efficient upgrades.",,,Efficiency Manitoba,Provincial government,,2020-05-26 00:00:00.0
5906,"Commercial/Institutional,Industrial",Manitoba,HVAC &amp; Controls Program,"Financial Incentive,Rebate,Retrofit",,This program offers financial incentives for variable flow pump and fan systems and other eligible equipment,,,Efficiency Manitoba,Provincial government,,2022-02-14 00:00:00.0
5926,Commercial/Institutional,Manitoba,Indigenous Small Business Program,"Advice,Energy Star,Retrofit",,"This program offers free energy efficient upgrades specifically for First Nation and Métis small businesses. Qualifying small businesses may receive:<br>
Free on-site installation of:<ul>
<li>Low-flow bathroom and kitchen faucet aerator(s);</li>
<li>ENERGY STAR® certified LED screw in lamps to replace 40W and 60W incandescent lamps;</li>
<li>Low-flow pre-rinse spray-valves.</li></ul>
Even further retrofit lighting upgrades including:<ul>
<li>LED linear lamps;</li>
<li>T8 ballasts;</li>
<li>Speciality LED bulbs;</li>
<li>LED exit signs;</li>
<li>Lighting controls;</li>
<li>Smart thermostats; and</li>
<li>Insulation</li></ul>",,,Efficiency Manitoba,Provincial government,,2022-02-14 00:00:00.0
5946,"Commercial/Institutional,Residential",Alberta,Clean Energy Improvement Program,Financial Incentive,,Receive support to develop property assessed clean energy financing options for residential and commercial property owners in your municipality.,,,Alberta Municipalities,Municipal government,,2022-05-01 00:00:00.0
5966,Residential,Saskatchewan,SaskPower Energy Assistance Program,"Awareness/Information,Energy Management and Monitoring",,"The Energy Assistance Program helps lower-income households make energy efficient upgrades to their home.

To qualify for this program, you must:<ul>
<li>Own or rent a single-detached home or semi-attached home</li>
<li>Live in the home year-round</li>
<li>Be a customer of SaskPower, Saskatoon Light and Power or Swift Current Light and Power</li>
<li>Meet the specified income limits</li></ul>
",,,SaskPower - Residential Programs,Utility company,,2021-01-26 00:00:00.0
5986,Residential,British Columbia,CleanBC Better Homes New Construction Program,Rebate,"The CleanBC Better Homes New Construction Program provides rebates up to $15,000 for the construction of new, high-performance, electric homes. Through the CleanBC plan, the Province is supporting the adoption of the BC Energy Step Code and making energy efficient, climate-friendly homes more affordable and accessible for British Columbians.",,"The program is open to builders, developers and owner builders who are building a new home in B.C.",,BC Hydro - Builders &amp; Developers,Utility company,,2021-06-04 00:00:00.0
5987,Residential,Alberta,Change Homes for Climate,"Awareness/Information,Rebate,Standards (Voluntary or Regulated)",Explore the City of Edmonton programs to see how you can help change your home for climate while taking advantage of available rebates/incentives.,,,,City of Edmonton,Municipal government,,2021-04-06 00:00:00.0
5988,Residential,British Columbia,Home Renovation Rebate and CleanBC Home Efficiency Rebate Program,"Rebate,Retrofit",,"The Home Renovation Rebate and CleanBC Home Efficiency Rebate Program is a partnership between BC Hydro, FortisBC and CleanBC.  

It's an integrated offer of rebates to help residential customers make energy efficient upgrades that make their home more comfortable year-round, save on energy bills and reduce greenhouse gases.

Rebates for energy efficient upgrades include space and water heating, insulation, and windows and doors. ",Visit website to view eligibility criteria.,,BC Hydro  - Residential Customers,Utility company,,2022-01-31 00:00:00.0
6006,Residential,Nova Scotia,Clean Energy Financing Program,Financial Incentive,"Do you want to improve the energy efficiency of your home or install clean energy options, but don't think you can afford the work? Now you can. If you live in one of seven participating towns &amp; municipalities, you can get cleaner energy for your home – and pay for it at a pace you can afford.",,Visit website for eligibility criteria.,,Efficiency Nova Scotia,Provincial government,,2021-04-14 00:00:00.0
6007,Residential,Nova Scotia,Solar City Program,"Awareness/Information,Financial Incentive,Rebate","The Solar City program offers property owners, non-profit organizations, places of worship, co-operatives, and charities in the municipality access to innovative solar energy options, which can be financed through a solar collector account with the Halifax Regional Municipality. Property owners can choose to install one, or all, of following solar technologies: solar electric, solar hot air, solar hot water.",,"Who can access the solar city program? Residential property owners, non-profit organizations, places of worship, co-operatives, and charities.",,Halifax Regional Municipality,Municipal government,,2022-05-15 00:00:00.0
6008,Residential,Nova Scotia,SolarHomes Program,Rebate,Efficiency Nova Scotia offers incentives to make solar electricity more affordable than ever. The SolarHomes program helps Nova Scotians harness the sun's energy by offering a rebate on approved solar PV systems.,,,,Efficiency Nova Scotia,Provincial government,,2021-04-14 00:00:00.0
6026,Residential,"Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon",Canada Greener Homes Grant,"Advice,Financial Incentive,Retrofit",,"The Canada Greener Homes Grant will help homeowners make their homes more energy-efficient and fight climate change. Participants are eligible for up to $5,600 total under the initiative (up to $5,000 for qualifying energy efficient retrofits to their homes and up to $600 for EnerGuide evaluations).Residents of Quebec and Nova Scotia need to apply directly through their provincial programs to book their EnerGuide evaluation and register. New Brunswick and British Columbia (West Kootenay) have requested that we direct residents in those provinces to go through the provincial program first to ensure homeowners can take advantage of the network of energy advisors already established in those provinces.",,,"Natural Resources Canada (NRCan), Office of Energy Efficiency (OEE), Greener Homes Division (GHD)",Federal government,,2022-01-27 00:00:00.0
6027,Residential,Prince Edward Island,Free Heat Pumps for Income Qualified Islanders,"Financial Incentive,Rebate,Retrofit",,"Islanders with an annual household income of $35,000 or less may be eligible for a free heat pump. To be eligible, your property must be valued at $300,000 or less (tax assessed value).",,,"Government of Prince Edward Island, Department of Environment, Energy and Climate Action",Provincial government,,2022-01-27 00:00:00.0
6028,Residential,Prince Edward Island,Point of Sale Heat Pump Rebates,"Financial Incentive,Rebate,Retrofit",,"Eligible Islanders can receive an instant $1200 rebate on heat pumps from eligible contractors, with no application required.",,,Efficiency PEI,Provincial government,,2022-01-27 00:00:00.0
6029,"Agriculture,Commercial/Institutional,Residential",Prince Edward Island,Solar Electric Rebate Program,"Financial Incentive,Rebate",,"The solar program makes solar power more affordable than ever before by providing financial incentive for Island homeowners, farms and businesses to install solar PV panels. Solar incentives will help reduce greenhouse gas emissions by over 500 tonnes annually and create approximately 20 jobs in PEI's renewable energy sector.",,,Efficiency PEI,Provincial government,,2022-01-27 00:00:00.0
